id;date;details;status;payment_method;payment_date;payment_amount
1;2023-01-30T21:40:28;RAM systemic;PAID;CASH_ON_DELIVERY;2023-01-31T02:06:23;5801
2;2023-01-30T15:54:39;Bourgogne calculating model;ISSUED;CREDIT_CARD;2023-01-30T18:09:36;75071
3;2023-01-30T14:40:37;program SQL;CANCELLED;CREDIT_CARD;2023-01-30T13:20:01;79944
4;2023-01-31T01:34:44;Soft b;PAID;CASH_ON_DELIVERY;2023-01-30T22:50:25;8068
5;2023-01-31T05:41:36;Bhutanese;CANCELLED;PAYPAL;2023-01-31T07:31:09;87472
6;2023-01-30T18:18:04;Specialiste Shirt Boétie;CANCELLED;PAYPAL;2023-01-31T10:02:31;62834
7;2023-01-31T05:50:26;program transmitting parse;PAID;CREDIT_CARD;2023-01-30T20:50:44;38509
8;2023-01-30T20:32:02;a iterate;PAID;CREDIT_CARD;2023-01-30T16:48:50;6085
9;2023-01-30T13:25:45;black Corse;PAID;CREDIT_CARD;2023-01-30T16:07:50;11254
10;2023-01-31T02:41:06;a Zadkine;CANCELLED;PAYPAL;2023-01-30T15:58:14;85804
