id;placed_date;status;invoice_id;code
1;2023-01-31T05:03:57;COMPLETED;11446;lavender
2;2023-01-31T08:41:57;CANCELLED;64871;e-enable one-to-one
3;2023-01-30T15:44:17;COMPLETED;91159;background out-of-the-box withdrawal
4;2023-01-30T13:57:50;COMPLETED;47588;Concrete
5;2023-01-30T19:00:16;CANCELLED;63689;Car hybrid Generic
6;2023-01-30T18:14:24;CANCELLED;37922;harness Hongrie Ukraine
7;2023-01-31T03:21:49;COMPLETED;15762;Visionary
8;2023-01-30T16:08:34;CANCELLED;1365;Credit Soft Cotton
9;2023-01-31T07:43:07;CANCELLED;52097;Implemented
10;2023-01-31T05:58:46;COMPLETED;61775;solution protocol
